city,rooms,cap rate
haifa,10.0,4.783333333333333
natanya,8.5,4.717
rishon lezion,7.5,3.8942
beer sheva,2.0,3.8463366336633666
beer sheva,2.5,3.7822708333333335
natanya,7.5,3.6513333333333335
beer sheva,3.5,3.607845070422535
beer sheva,4.5,3.604962962962963
beer sheva,7.5,3.575833333333333
beer sheva,5.5,3.5729111111111114
beer sheva,3.0,3.57098018018018
beer sheva,12.0,3.5529999999999995
haifa,2.0,3.543484939759036
haifa,4.5,3.529077519379845
haifa,2.5,3.482035874439462
ashkelon,2.5,3.4644054054054054
beer sheva,4.0,3.450846641318124
beer sheva,7.0,3.4498214285714286
beer sheva,8.0,3.408857142857143
ashdod,6.5,3.3875
haifa,8.0,3.3735769230769233
beer sheva,6.0,3.373373056994819
haifa,5.5,3.3421194029850745
haifa,4.0,3.3387247983870965
beer sheva,9.0,3.308777777777778
ashkelon,3.5,3.308082191780822
beer sheva,6.5,3.2987777777777776
rishon lezion,5.5,3.296538461538461
haifa,9.0,3.283
haifa,3.5,3.27671914893617
haifa,3.0,3.2754438722966017
ashkelon,2.0,3.242417910447761
beer sheva,5.0,3.225994436717663
rishon lezion,2.0,3.18895
ashkelon,6.5,3.1713999999999998
natanya,3.5,3.14452
ashkelon,4.5,3.134157894736842
ashdod,4.5,3.128613333333333
natanya,2.0,3.0885625
natanya,3.0,3.0708513853904282
natanya,4.0,3.068918181818182
natanya,8.0,3.067310344827586
ashkelon,5.5,3.0563333333333333
ashkelon,3.0,3.050093137254902
ashdod,4.0,3.0459616368286446
jerusalem,4.0,3.038657057057057
ashdod,9.5,3.022
petah tikva,4.0,3.021045398773006
jerusalem,4.5,3.0182656249999997
natanya,6.5,3.018166666666667
natanya,5.5,3.0126875
haifa,5.0,3.010853009259259
rishon lezion,4.5,3.0096521739130435
jerusalem,5.0,2.9915715883668907
rishon lezion,4.0,2.9834409638554216
ashkelon,4.0,2.982204260651629
ashkelon,7.5,2.965
rishon lezion,3.5,2.9480597014925376
ashkelon,6.0,2.94625
natanya,5.0,2.9394962871287125
ashdod,3.0,2.9295581395348838
natanya,4.5,2.927826086956522
haifa,7.0,2.9230612244897958
haifa,8.5,2.9205
natanya,2.5,2.9074545454545455
ramat gan,4.0,2.893970548862115
ashdod,5.0,2.8922072727272727
petah tikva,6.5,2.8902
ashdod,6.0,2.888699115044248
petah tikva,3.0,2.887619256017506
rishon lezion,6.0,2.8840159574468087
ashdod,3.5,2.8802727272727275
jerusalem,6.0,2.8727664473684213
petah tikva,3.5,2.8700582524271843
ramat gan,3.0,2.863095400340715
rishon lezion,3.0,2.8553136842105262
ramat gan,2.0,2.8551676300578035
ramat gan,3.5,2.841157894736842
petah tikva,5.0,2.838228915662651
ashdod,2.0,2.8361333333333336
ramat gan,2.5,2.8355949367088606
ramat gan,4.5,2.8351267605633805
ashdod,5.5,2.83
rishon lezion,5.0,2.812968333333333
rishon lezion,2.5,2.812
petah tikva,4.5,2.800208791208791
haifa,6.0,2.79748275862069
jerusalem,5.5,2.784625
ashkelon,5.0,2.7821687242798356
jerusalem,3.0,2.7699650224215246
rishon lezion,6.5,2.7584999999999997
petah tikva,5.5,2.755157894736842
tel aviv,2.0,2.744496848739496
natanya,7.0,2.7180704225352113
petah tikva,2.0,2.715912280701754
petah tikva,2.5,2.713257142857143
beer sheva,10.0,2.7022500000000003
rishon lezion,7.0,2.6993571428571426
jerusalem,2.0,2.6803214285714287
tel aviv,2.5,2.6727751004016063
ashkelon,7.0,2.6668333333333334
rishon lezion,8.0,2.64878
jerusalem,8.0,2.643011904761905
jerusalem,3.5,2.630474226804124
haifa,6.5,2.6243913043478257
ramat gan,5.5,2.619653846153846
tel aviv,3.0,2.6175933675483614
natanya,6.0,2.6172275862068966
ashdod,9.0,2.6056999999999997
rishon lezion,12.5,2.594
jerusalem,6.5,2.5773103448275863
petah tikva,7.0,2.5761875
tel aviv,4.0,2.5738465473145777
petah tikva,6.0,2.563164021164021
ramat gan,5.0,2.560612048192771
jerusalem,8.5,2.544
rishon lezion,9.0,2.5355151515151513
jerusalem,7.0,2.5306470588235292
ashdod,12.0,2.511
tel aviv,3.5,2.5001401869158877
jerusalem,11.0,2.4922
tel aviv,5.5,2.4644310344827587
ashdod,2.5,2.4605952380952383
ashkelon,10.0,2.4585
jerusalem,2.5,2.4554237288135594
jerusalem,7.5,2.3965714285714284
ashkelon,8.0,2.391636363636364
petah tikva,9.5,2.3906666666666667
petah tikva,8.0,2.3788125
ashdod,8.0,2.364842105263158
tel aviv,5.0,2.350324738114424
tel aviv,4.5,2.3383191489361703
ashdod,7.5,2.3195
ashdod,7.0,2.3116595744680852
ashdod,12.5,2.3106666666666666
natanya,10.0,2.286375
tel aviv,12.5,2.283
jerusalem,12.5,2.28
haifa,7.5,2.274
petah tikva,12.0,2.261
ramat gan,6.0,2.2596896551724135
ashdod,10.0,2.233
tel aviv,8.0,2.2289069767441863
natanya,9.0,2.2037272727272725
ramat gan,7.0,2.1993142857142858
ramat gan,8.0,2.1938636363636363
jerusalem,9.0,2.1933478260869568
rishon lezion,10.0,2.19
petah tikva,9.0,2.1803333333333335
tel aviv,6.5,2.175470588235294
natanya,12.0,2.168
jerusalem,10.0,2.163826086956522
beer sheva,8.5,2.152
ramat gan,6.5,2.1406666666666667
jerusalem,12.0,2.138333333333333
ramat gan,7.5,2.125
tel aviv,7.0,2.1189397590361443
petah tikva,10.0,2.1105
tel aviv,6.0,2.0737094339622644
petah tikva,11.0,1.98
ramat gan,8.5,1.8895
jerusalem,10.5,1.865
tel aviv,12.0,1.8544999999999998
tel aviv,9.0,1.829
beer sheva,11.0,1.7865
ramat gan,9.0,1.7554000000000003
rishon lezion,11.0,1.751
natanya,11.0,1.73
tel aviv,10.0,1.703888888888889
tel aviv,8.5,1.698
ramat gan,10.0,1.6173333333333335
haifa,12.0,1.603
rishon lezion,10.5,1.556
tel aviv,11.0,1.55
tel aviv,7.5,1.516
ashkelon,8.5,1.413
