city,house type,house_area,garden_area,rooms,balconies,air_condition,parking,protected_room,elevator,renovated,furniture,accessibility,bars,storage,price,rent price,cap rate
tel aviv,apartment,85.0,0.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,4690000.0,8479,2.169
tel aviv,apartment,102.0,0.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5500000.0,10517,2.295
beer sheva,apartment,60.0,0.0,3.5,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,777000.0,2435,3.761
beer sheva,apartment,202.0,0.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2600000.0,5782,2.669
ramat gan,apartment,87.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2650000.0,6293,2.850
ashkelon,apartment,140.0,0.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2180000.0,4981,2.742
rishon lezion,apartment,91.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2450000.0,6458,3.163
ramat gan,apartment,135.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,3250000.0,8968,3.311
beer sheva,garden apartment,200.0,100.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1650000.0,3889,2.828
beer sheva,apartment,110.0,0.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1420000.0,3570,3.017
haifa,apartment,74.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1100000.0,3226,3.519
rishon lezion,apartment,87.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2550000.0,6222,2.928
tel aviv,apartment,112.0,0.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,4100000.0,10189,2.982
tel aviv,apartment,65.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2920000.0,7681,3.157
rishon lezion,apartment,236.0,0.0,5.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,5200000.0,10203,2.355
rishon lezion,apartment,75.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1980000.0,4110,2.491
beer sheva,apartment,160.0,0.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1890000.0,4184,2.657
tel aviv,apartment,90.0,0.0,4.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3800000.0,7588,2.396
tel aviv,apartment,120.0,0.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4500000.0,9804,2.614
haifa,apartment,85.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1600000.0,3403,2.552
rishon lezion,apartment,110.0,0.0,4.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3250000.0,7125,2.631
ashdod,apartment,100.0,0.0,5.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1750000.0,4500,3.086
beer sheva,apartment,70.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,860000.0,2471,3.448
natanya,apartment,125.0,0.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3270000.0,7616,2.795
rishon lezion,apartment,101.0,0.0,4.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2350000.0,5818,2.971
rishon lezion,apartment,130.0,0.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3700000.0,7036,2.282
rishon lezion,apartment,110.0,0.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2390000.0,6848,3.438
beer sheva,apartment,52.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,540000.0,2036,4.524
jerusalem,apartment,117.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3270000.0,8542,3.135
ashdod,apartment,94.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1700000.0,4014,2.833
jerusalem,apartment,65.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2050000.0,4927,2.884
ashkelon,private house,190.0,330.0,6.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,4275000.0,8694,2.440
ramat gan,apartment,82.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2600000.0,5383,2.484
ashkelon,apartment,38.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1090000.0,3243,3.570
natanya,apartment,120.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2850000.0,8263,3.479
beer sheva,garden apartment,310.0,150.0,5.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2850000.0,5336,2.247
rishon lezion,apartment,125.0,0.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3250000.0,7298,2.695
ramat gan,private house,387.0,0.0,6.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,8000000.0,14649,2.197
ashkelon,apartment,117.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1930000.0,4368,2.716
rishon lezion,apartment,112.0,0.0,4.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3100000.0,7906,3.060
ashkelon,apartment,124.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1950000.0,4550,2.800
haifa,apartment,86.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1500000.0,4130,3.304
jerusalem,garden apartment,185.0,80.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2670000.0,10040,4.512
beer sheva,apartment,80.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,720000.0,2631,4.385
