city,neighborhood,house type,house_area,garden_area,rooms,balconies,air_condition,parking,protected_room,elevator,renovated,furniture,accessibility,bars,storage,price
ירושלים,קרית היובל,דירה,100,0.0,4,1,1,1,1,1,1,0,1,0,1,7000
עכו,קרית וולפסון,דירה,82,0.0,3,0,1,0,0,0,1,0,0,0,1,2800
תל אביב יפו,כרם התימנים,דירת גן,24,0.0,1,0,1,0,0,0,1,1,0,1,1,4500
תל אביב יפו,הצפון הישן - צפון,דירה,75,0.0,3,0,1,0,0,0,1,0,0,1,0,9500
גני תקווה,,דירה,150,0.0,6,1,1,1,1,1,1,1,1,0,1,10000
הרצליה,הרצליה ב',דירה,91,0.0,3,1,1,1,1,1,1,1,1,0,1,10000
רעננה,נווה דוד רמז,דירה,160,0.0,5,1,1,1,1,1,1,0,0,1,1,9000
תל אביב יפו,בבלי,דירה,146,0.0,5,1,1,1,1,1,0,0,1,0,1,23000
אשקלון,גבעת ציון וגבעת הפרחים,דירה,80,0.0,4,0,1,1,0,0,1,0,0,0,0,3150
תל אביב יפו,"מונטיפיורי, הרכבת",דירה,93,0.0,4,1,1,1,1,1,1,0,0,1,1,10500
חיפה,קרית שמואל,דירה,60,0.0,3,1,1,0,0,0,1,0,0,0,0,2500
הרצליה,,דופלקס,120,0.0,4,0,1,0,0,0,0,0,0,0,0,5900
גדרה,רשפים,יחידת דיור,60,30.0,1.5,1,1,0,1,0,1,0,0,1,0,2800
תל אביב יפו,רמת אביב ג',דירה,100,0.0,4,0,1,1,0,1,1,0,1,0,0,10800
רמלה,נאות שמיר,דירה,130,0.0,5,1,1,1,0,1,0,0,1,0,0,5200
אשקלון,ברנע,יחידת דיור,54,4.0,2,1,1,1,1,0,1,1,0,1,0,3800
חיפה,אחוזה,דירה,35,0.0,2,0,1,0,0,0,1,0,1,0,0,2800
תל אביב יפו,"צפון יפו, המושבה האמריקאית-גרמנית",דירה,65,0.0,3,1,1,1,0,1,1,0,1,0,0,8500
אילת,"אורים, מערב 2",דירה,1,0.0,2.5,0,1,0,0,1,1,1,0,0,0,3650
תל אביב יפו,כוכב הצפון,גג/פנטהאוז,160,0.0,5,1,1,1,1,1,1,0,1,0,1,19000
